Canada ;33098932;9984670;3.3;2.0;6.0;4.8;29800;97.0;552.2;5.0;0.0;95.0;0.0;10.8;7.8;0.0;0.3;0.7
Cape Verde ;420979;4033;104.4;23.9;-12.1;47.8;1400;76.6;169.6;9.7;0.5;89.8;3.0;24.9;6.6;0.1;0.2;0.7
Cayman Islands ;45436;262;173.4;61.1;18.8;8.2;35000;98.0;836.3;3.8;0.0;96.2;2.0;12.7;4.9;0.0;0.0;1.0
Central African Rep. ;4303356;622984;6.9;0.0;0.0;91.0;1100;51.0;2.3;3.1;0.1;96.8;2.0;33.9;18.6;0.6;0.2;0.3
Chad ;9944201;1284000;7.7;0.0;-0.1;93.8;1200;47.5;1.3;2.9;0.0;97.1;2.0;45.7;16.4;0.3;0.3;0.4
Chile ;16134219;756950;21.3;0.9;0.0;8.8;9900;96.2;213.0;2.7;0.4;96.9;3.0;15.2;5.8;0.1;0.5;0.4
China ;1313973713;9596960;136.9;0.2;-0.4;24.2;5000;90.9;266.7;15.4;1.3;83.3;1.5;13.3;7.0;0.1;0.5;0.4
Colombia ;43593035;1138910;38.3;0.3;-0.3;21.0;6300;92.5;176.2;2.4;1.7;95.9;2.0;20.5;5.6;0.1;0.3;0.5
Comoros ;690948;2170;318.4;15.7;0.0;74.9;700;56.5;24.5;35.9;23.3;40.8;2.0;36.9;8.2;0.4;0.0;0.6
Congo. Dem. Rep. ;62660551;2345410;26.7;0.0;0.0;94.7;700;65.5;0.2;3.0;0.5;96.5;2.0;43.7;13.3;0.6;0.1;0.3
Congo. Repub. of the ;3702314;342000;10.8;0.1;-0.2;93.9;700;83.8;3.7;0.5;0.1;99.4;2.0;42.6;12.9;0.1;0.6;0.4
Cook Islands ;21388;240;89.1;50.0;0.0;0.0;5000;95.0;289.9;17.4;13.0;69.6;2.0;21.0;0.0;0.2;0.1;0.8
Costa Rica ;4075261;51100;79.8;2.5;0.5;9.9;9100;96.0;340.7;4.4;5.9;89.7;2.0;18.3;4.4;0.1;0.3;0.6
Cote d'Ivoire ;17654843;322460;54.8;0.2;-0.1;90.8;1400;50.9;14.6;9.8;13.8;76.4;2.0;35.1;14.8;0.3;0.2;0.6
